"code_siruta";"u_admin";"name_en";"y1992";"y1993";"y1994";"y1995";"y1996";"y1997";"y1998";"y1999";"y2000";"y2001";"y2002";"y2003";"y2004";"y2005";"y2006";"y2007";"y2008";"y2009";"y2010";"y2011";"y2012";"y2013";"y2014";"y2015";"y2016";"y2017";"y2018"
"146263";"MUNICIPIU";"SUCEAVA";113554;115441;116610;117494;118038;118367;118459;118851;118975;119163;119072;118715;118550;118046;117983;118013;117876;117915;118089;117949;117707;116865;116311;116583;116666;117845;122231
"146502";"MUNICIPIU";"CAMPULUNG MOLDOVENESC";22565;22564;22623;22628;22495;22339;22292;22237;22162;22093;21992;21932;21856;21676;21591;21442;21337;21131;21026;20846;20695;20554;20372;20298;20158;20100;19991
146539;"MUNICIPIU";"FALTICENI";32683;33093;33318;33492;33666;33758;33826;33926;33923;33646;33579;33496;33437;33264;33165;33038;32817;32679;32472;32292;32128;31950;31809;31759;31612;31482;31275
146628;"MUNICIPIU";"RADAUTI";31607;32013;32338;32601;32542;32687;32635;32626;32572;32442;32363;32203;32182;32107;32139;32167;32135;32113;32300;32350;32480;32558;32738;33045;33227;33494;33796
146744;"MUNICIPIU";"VATRA DORNEI";19510;19497;19495;19546;19427;19261;19091;18986;18841;18692;18612;18512;18428;18332;18292;18230;18148;17976;17839;17719;17626;17489;17411;17314;17186;16988;16850
147358;"ORAS";"BROSTENI";6912;6864;6867;6873;6936;6978;7006;7030;7050;7028;6985;6994;6992;6974;6948;6919;6889;6837;6778;6720;6695;6638;6597;6553;6509;6470;6438
147633;"ORAS";"CAJVANA";7273;7374;7486;7560;7670;7758;7858;7950;8009;8089;8136;8168;8283;8348;8419;8506;8603;8695;8814;8899;9026;9133;9235;9373;9471;9558;9623
148006;"ORAS";"DOLHASCA";11001;10875;10832;10892;10918;10887;10889;10914;10981;11109;11179;11254;11224;11247;11260;11284;11309;11339;11352;11380;11378;11409;11433;11448;11465;11464;11465
148612;"ORAS";"FRASIN";6625;6602;6623;6662;6678;6686;6706;6691;6733;6723;6731;6742;6728;6764;6765;6757;6719;6762;6718;6690;6687;6671;6691;6669;6635;6610;6601
146584;"ORAS";"GURA HUMORULUI";16733;16794;16890;16865;16842;16862;16890;16903;16946;16965;16930;16899;16844;16775;16765;16803;16808;16844;16828;16954;16957;17020;17115;17148;17074;17118;17106
149227;"ORAS";"LITENI";9978;9935;9875;9828;9792;9814;9836;9882;9952;10044;10051;10147;10134;10178;10209;10261;10297;10302;10299;10343;10408;10431;10399;10370;10359;10302;10276
146931;"ORAS";"MILISAUTI";8409;8440;8405;8452;8434;8449;8493;8540;8621;8704;8714;5262;5283;5324;5324;5325;5327;5346;5366;5385;5389;5401;5410;5452;5466;5471;5472
146370;"ORAS";"SALCEA";8063;8047;8120;8135;8234;8245;8329;8458;8556;8725;8874;8988;9115;9279;9444;9544;9688;9773;9861;9983;10103;10218;10347;10425;10489;10573;10717
146655;"ORAS";"SIRET";9357;9431;9408;9599;9611;9664;9757;9833;9837;9907;9928;9912;9853;9848;9856;9981;9975;9940;9893;9773;9746;9635;9657;9746;9732;9699;9664
146708;"ORAS";"SOLCA";5008;4962;4903;4897;4856;4805;4790;4762;4723;4711;4687;4689;4685;4680;4683;4688;2641;2621;2600;2615;2585;2607;2620;2623;2630;2603;2611
151095;"ORAS";"VICOVU DE SUS";13318;13381;13502;13562;13703;13822;13932;14062;14165;14255;14408;14529;14572;14659;14774;14961;15023;15109;15239;15326;15514;15703;15894;16054;16176;16368;16537
146799;"COMUNA";"ADANCATA";7890;7859;7805;7775;7795;7787;7812;7853;7873;7921;7909;7968;4433;4422;4414;4403;4420;4394;4378;4353;4355;4355;4363;4365;4355;4354;4366
146860;"COMUNA";"ARBORE";7069;7036;7003;7022;7011;7010;6988;7015;7035;7090;7109;7082;7074;7140;7198;7226;7319;7415;7465;7502;7525;7598;7552;7553;7555;7629;7671
146904;"COMUNA";"BAIA";6467;6447;6444;6533;6611;6655;6734;6760;6813;6880;6928;6977;7037;7090;7127;7150;7204;7231;7259;7330;7354;7412;7457;7469;7485;7490;7532
151530;"COMUNA";"BALACEANA";;;;;;;;;;;;;;1590;1608;1611;1616;1598;1592;1619;1591;1586;1571;1552;1542;1517;1505
146995;"COMUNA";"BALCAUTI";3293;3247;3225;3220;3231;3230;3224;3283;3280;3300;3326;3310;3328;3302;3271;3247;3258;3236;3236;3211;3189;3194;3166;3166;3169;3185;3187
